FID,HD,PH,PL,TN,GP,SSR,TGW,GL,GW,Y
S1,103,108.15,20.26,9.5,144,94.5833333333333,23.53,7.675,2.784,27
S2,98,92.2,18.44,13.4,134.4,97.9910714285714,26.31,7.078,3.571,17.5
S3,96,95.7,20.55,11.1,104.7,96.8481375358166,24.4,8.219,2.732,27.25
S4,93,93.75,18.14,12.8,164,87.8048780487805,27.2,7.846,3.09,28.5
S5,95,108.65,17.69,8.9,131.4,86.5296803652968,24.76,7.604,2.914,29.25
S6,93,96.2,17.47,12,147.2,91.1005434782609,23.38,7.729,2.844,26.75
S7,93,99.95,17.95,9.9,109.2,97.3443223443223,26.05,7.787,3.005,24.75
S8,91,84.55,16.13,8.6,69.6,87.2126436781609,23.37,7.702,2.833,22
S9,87,89,18.41,17.5,77.2,94.300518134715,22.63,8.116,2.649,11
S10,103,96.65,16.64,12.5,95.6,90.3765690376569,24.53,6.874,3.367,33
S11,87,88.9,17.92,12.6,80.5,88.1987577639752,26.42,7.673,3.027,18
S12,109,94.3,18.53,25.1,83,93.9759036144578,22.52,6.385,3.456,34.5
S13,95,96.35,18.04,14.4,113,95.3097345132743,27.02,7.713,3.212,25.75
S14,,151.4,26.75,7.7,150.3,82.435129740519,25.13,7.165,3.348,
S15,109,101.2,17.53,16.8,133.1,84.0721262208866,24.64,7.541,3.236,30
S16,98,97.1,15.44,13.3,88.1,96.0272417707151,24.24,6.773,3.411,30.25
S17,107,109.4,19.53,12.1,105.8,97.9206049149338,27.84,7.167,3.437,31.75
S18,93,97.55,15.88,16.9,106.2,96.2335216572505,25.47,6.867,3.399,25.25
S19,89,93.25,15.14,13.8,108.2,89.8336414048059,23.67,6.683,3.286,16.75
S20,95,102,18.38,10,126.6,80.173775671406,25.46,6.861,3.427,18.75
S21,103,122.7,20.38,9.9,119.5,92.4686192468619,32.31,8.317,3.628,21.25
S22,93,101.5,17.62,13.2,130.5,93.8697318007663,24.66,7.672,2.968,24.25
S23,91,94.4,16.66,9.8,114.7,81.9529206625981,28.03,6.843,3.371,22
S24,92,85.8,15.39,12.7,117.3,91.3895993179881,27.7,6.858,3.375,21.75
S25,104,86.55,17.78,10.8,96.4,97.5103734439834,19.94,6.681,3.297,24.25
S26,95,82.3,13.96,15.1,126.3,89.1528107680127,26.82,6.967,3.424,24
S27,94,82.2,14.93,9.6,126.3,97.7038796516231,23.97,6.831,3.363,21.5
S28,98,88.95,15.97,13.1,87.4,94.5080091533181,23.76,6.84,3.298,22.75
S29,92,90.2,16.21,13.9,110.7,95.1219512195122,27.62,7.259,3.378,28
S30,97,93.6,16.89,12.1,123.1,93.74492283,25.44,7.02,3.195,22.5
S31,91,91.5,16.22,15.7,123.1,94.1510966693745,25.36,7.158,3.366,21.25
S32,93,89.7,15.43,12.5,123.3,85.8069748580698,27.01,6.648,3.276,23
S33,88,93.8,15.73,10.9,187.4,62.7001067235859,25.76,6.952,3.337,25.5
S34,98,89.2,16.73,15.2,124.5,97.3493975903615,26.74,6.627,3.438,29
S35,94,95.65,19.48,11.5,134.2,94.3368107302534,26.2,6.507,3.587,26.25
S36,97,100.1,17.13,8.1,76.7,88.135593220339,31.17,7.121,3.494,46.75
S37,98,102.9,16.98,8.9,97.4,94.2505133470226,31.34,7.038,3.586,23.25
S38,97,98.9,17.07,7.6,121.3,94.7238252267106,28.03,7.104,3.471,20.75
S39,94,95.7,16.81,12.6,90.8,95.8149779735683,26.01,6.599,3.523,8.75
S40,98,102.6,18.21,9.7,116.8,93.1506849315068,28.99,7.019,3.466,22.75
S41,94,93.95,15.99,12.8,135.3,91.1308203991131,27.75,6.632,3.457,21.5
S42,93,88.7,16.3,14.2,150.9,86.1497680583168,26.85,7.454,3.392,25
S43,99,95.15,16.7,18,123.8,93.9418416801292,28.67,7.045,3.648,27.5
S44,94,98.15,18.45,11.2,160.3,49.7192763568309,26.65,7.832,2.982,20.5
S45,97,82.9,16.14,19.3,121.8,93.431855500821,25.88,6.643,3.519,9.5
S46,95,83.7,15.38,15.5,125.4,95.2950558213716,27.58,6.876,3.361,27.5
S47,104,112.5,19.14,13.3,131.9,93.7073540561031,27.19,6.966,3.474,39.25
S48,104,90.9,18.68,27.7,123.8,88.6914378029079,26.31,6.831,3.31,19.25
S49,100,95.3,18.19,18.7,108.8,94.1176470588235,27.55,6.762,3.639,27
S50,86,95.6,17.06,14.1,131.3,93.6024371667936,24.6,6.905,3.156,22.25
S51,82,70,14.45,26,128.2,93.99375975,29.78,7.443,3.484,5.75
S52,85,78.6,15.54,16,137.6,92.7325581395349,28.07,7.052,3.29,21.75
S53,85,84.6,17.17,15.1,141.7,95.2011291460833,27.57,7.081,3.289,14.75
S54,83,90.9,14.42,14.4,177.2,85.2708803611738,28.64,6.831,3.677,20.5
S55,93,83.8,15.76,9.7,160.1,89.4440974391006,24.8,6.743,3.2,23.25
S56,94,101.2,17.81,13.1,146.8,93.0517711171662,22.71,6.801,3.116,29
S57,107,104.1,20.23,13.4,157,94.3312101910828,24.07,7.005,3.262,42
S58,107,102.9,20.81,14.3,138.9,78.9056875449964,25.01,7.299,3.178,36.25
S59,98,88.1,16.37,12.5,122,78.4426229508197,28.09,7.064,3.408,26.5
S60,99,86.3,17.19,12.5,126.9,92.0409771473601,27.53,6.817,3.345,29.25
S61,102,88.8,18.06,12.7,133.1,95.4169797145004,30.09,7.232,3.581,28
S62,100,91.6,17.28,15,131.1,73.3790999237224,29.48,6.992,3.409,30.5
S63,105,99.3,21.84,12.4,106.4,94.2669172932331,27.37,7.304,3.272,36.25
S64,98,97.2,18.86,13.5,150,77,29.31,7.226,3.447,28.25
S65,105,93.1,17.6,17,135.7,85.1142225497421,25.95,6.925,3.362,34.25
S66,93,89.4,15.31,11.3,144.4,95.0138504155125,25.05,6.562,3.116,29
S67,106,88.9,17.87,13.5,145.7,78.5175017158545,24.8,6.864,3.224,33
S68,101,101.7,19.3,11.3,115.3,96.5307892454467,31.72,7.298,3.606,32.5
S69,106,104.2,21.27,13.9,164.6,93.0133657351154,26.57,7.194,3.342,31.75
S70,90,105.6,17.2,8.2,100,93,25.26,7.297,3.402,41.75
S71,92,83.3,15.39,17.8,125.9,90.7069102462272,27.62,6.673,3.471,22
S72,98,96.3,17.74,12,125.5,94.9003984063745,28.78,6.908,3.448,28
S73,104,93.1,18.04,15.3,169,85.9763313609468,27.29,7.218,3.348,30.25
S74,97,98.2,19.07,13.1,133.3,96.5491372843211,28.49,7.081,3.497,32
S75,105,96.9,18.47,13.2,117.1,97.5234842015372,25.93,7.021,3.292,30.5
S76,107,97.7,17.46,11.4,144.8,82.1823204419889,27.46,8.471,2.648,37.75
S77,99,93.9,17.79,14.7,142.8,96.5686274509804,25.58,7.017,3.475,37
S78,109,124.1,20.07,12.4,127.1,94.1778127458694,22.68,6.732,3.503,29
S79,79,79.5,13.8,8,133.6,96.8562874251497,27.02,6.342,3.65,13.5
S80,88,82,14.17,17.1,116.7,95.458440445587,23.37,6.449,3.311,21.5
S81,89,90.4,14.97,14.5,140.6,99.2176386913229,23.51,6.841,3.234,22.5
S82,101,89.3,15.5,19.8,123.4,98.0551053484603,26.49,6.952,3.423,32.25
S83,107,106.1,18.13,13.2,115,84.2608695652174,25.32,6.804,3.356,32
S84,106,98.3,19.43,21.2,119.7,80.8688387635756,25.92,6.852,3.437,36.5
S85,105,97,19.56,22.4,111.6,97.4910394265233,29.29,6.828,3.453,29.25
S86,104,101,17.9,10.8,126.2,90.2535657686212,28.22,7.522,3.435,29.5
S87,106,104.6,18.7,10.5,132,69.9242424242424,20.92,6.512,3.307,32.25
S88,102,95.7,17.55,11.5,150.9,95.9575878064944,28.94,7.065,3.266,35.5
S89,95,88.5,18.71,29.5,160.2,93.4456928838951,26.74,6.744,3.495,
S90,92,97,18.61,15.7,139.3,95.6927494615937,25.59,6.973,3.47,23
S91,106,99.8,19.39,15.3,110.9,95.4914337240757,26.95,7.031,3.44,37.5
S92,93,91,16.94,21.1,132.9,95.3348382242287,25.65,6.925,3.243,22
S93,97,102.9,19.23,17,78.5,94.9044585987261,26.82,7.097,3.457,31.75
S94,99,109.9,18.24,14,135.6,95.8702064896755,24.66,6.686,3.481,37.25
S95,99,105.9,21.68,16.8,159.7,97.0569818409518,26.72,6.961,3.5,31.5
S96,98,108,18.94,11.1,121.1,93.5590421139554,25.26,6.883,3.417,32.5
S97,99,113.6,20.6,12.3,198.3,87.6449823499748,21.94,6.711,3.117,27.75
S98,88,97.4,18.34,8.8,137.7,91.8663761801017,27.39,8.11,3.098,19.25
S99,101,98.9,18.39,14.3,94.4,95.6567796610169,21.7,6.572,3.362,25.5
S100,105,87.8,20.58,8.4,121.7,92.6869350862777,28.79,8.003,3.402,22
S101,104,113,21.67,15.2,100.3,95.6131605184447,24.1,7.372,3.254,38.75
S102,104,108.4,20.46,12.7,116.5,93.6480686695279,27.13,7.414,3.379,31.5
S103,96,107.2,19.89,12.4,121.8,95.8949096880131,26.65,7.043,3.484,31.75
